key,source,target
TLAchievementLooks/achv_narrative_objective_Exp_PD_C16_01_Clear_Description,Halls of Tragedy,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C16_02_Clear_Description,Tragedy of the Florification Curse,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C16_03_Clear_Description,Spineflower Struggle,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C17_01_Clear_Description,Chapel of Madness,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C17_02_Clear_Description,Stop Demon Summoning,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C17_03_Clear_Description,The Power to Conquer Fear,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C18_01_Clear_Description,Doomrot Grove,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C18_02_Clear_Description,A Thorny Path,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C18_03_Clear_Description,Dominating Plant Monster,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C19_01_Clear_Description,Twisted Laboratory,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C19_02_Clear_Description,Crimson Conquest,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C19_03_Clear_Description,Perfect Suppression Operation,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C20_01_Clear_Description,Crypt of Augmentation,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C20_02_Clear_Description,Witch Raid,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C20_03_Clear_Description,Secret of the Forest,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C20_04_Clear_Description,Unhealthy Obsession,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C21_01_Clear_Description,"Fate's Abyss",
TLAchievementLooks/achv_narrative_objective_Exp_PD_C21_02_Clear_Description,All That Which is Evil,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C21_03_Clear_Description,Dread the Judge,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C22_01_Clear_Description,Colossal Coliseum,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C22_02_Clear_Description,Relentless Breakthrough,
TLAchievementLooks/achv_narrative_objective_Exp_PD_C22_03_Clear_Description,All According to Plan,
TLAchievementLooks/achv_narrative_objective_Adv_006_01_02_TitleText,"Aim for the Heart! Three, Two, One! {0}",
TLAchievementLooks/achv_narrative_objective_Adv_006_01_01_TitleText,"Aim for the Heart! Three, Two, One! {0}",
TLAchievementLooks/achv_narrative_objective_Adv_006_01_03_TitleText,"Aim for the Heart! Three, Two, One! {0}",
TLAchievementLooks/achv_narrative_objective_SE_Raid_001_01_01_Description,Encounter Velentra,
TLAchievementLooks/achv_narrative_objective_SE_Raid_001_01_02_01_Description,Meet with Roen,
TLAchievementLooks/achv_narrative_objective_SE_Raid_001_01_02_02_Description,Encounter Calanthia,
TLAchievementLooks/achv_narrative_objective_SE_Raid_001_03_01_Description,"Witness Calanthia's Final Scene",
TLAchievementLooks/achv_narrative_SE_Raid_003_01_Description,"Witness Calanthia's Final Scene",
TLAchievementLooks/achv_narrative_objective_Collection_001_01_Clear_Description,An Unsent Letter,
TLAchievementLooks/achv_narrative_objective_Collection_001_02_Clear_Description,About Hamel,
TLAchievementLooks/achv_narrative_objective_Collection_001_03_Clear_Description,"Laslan Bard's Song",
TLAchievementLooks/achv_narrative_objective_Collection_001_04_Clear_Description,"Reville, Demon of Solisium!",
TLAchievementLooks/achv_narrative_objective_Collection_001_05_Clear_Description,To All Laslan Soldiers!,
TLAchievementLooks/achv_narrative_objective_Collection_001_06_Clear_Description,Heroes of Kastleton,
TLAchievementLooks/achv_narrative_objective_Collection_001_07_Clear_Description,A Plea to the Brave People of Laslan,
TLAchievementLooks/achv_narrative_objective_Collection_001_08_Clear_Description,Oath of the Resistance,
TLAchievementLooks/achv_narrative_objective_Collection_001_09_Clear_Description,"Henry's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_001_10_Clear_Description,"Hobs's Memo",
TLAchievementLooks/achv_narrative_objective_Collection_001_11_Clear_Description,A Graveside Letter,
TLAchievementLooks/achv_narrative_objective_Collection_001_12_Clear_Description,Laslan Delicacy,
TLAchievementLooks/achv_narrative_objective_Collection_001_13_Clear_Description,The Resistance Combat Manual,
TLAchievementLooks/achv_narrative_objective_Collection_001_14_Clear_Description,"Lover's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_001_15_Clear_Description,"Hamel's Anthem",
TLAchievementLooks/achv_narrative_objective_Collection_001_16_Clear_Description,"A Hunter's Note",
TLAchievementLooks/achv_narrative_objective_Collection_001_17_Clear_Description,Laslan Monster Lore: Vol. 1,
TLAchievementLooks/achv_narrative_objective_Collection_001_18_Clear_Description,Laslan Monster Lore: Vol. 2,
TLAchievementLooks/achv_narrative_objective_Collection_001_19_Clear_Description,Journal of a Laslan Farmer,
TLAchievementLooks/achv_narrative_objective_Collection_001_20_Clear_Description,"Helpie's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_001_21_Clear_Description,Missing Person Cases Tracker,
TLAchievementLooks/achv_narrative_objective_Collection_001_22_Clear_Description,Old Intelligence Record 91-3,
TLAchievementLooks/achv_narrative_objective_Collection_001_23_Clear_Description,The Cruelest Festival in the World,
TLAchievementLooks/achv_narrative_objective_Collection_001_24_Clear_Description,Old Intelligence Record 61-2,
TLAchievementLooks/achv_narrative_objective_Collection_001_25_Clear_Description,Report the Violet Monster!,
TLAchievementLooks/achv_narrative_objective_Collection_001_26_Clear_Description,Merciless Demon Kazar,
TLAchievementLooks/achv_narrative_objective_Collection_001_27_Clear_Description,Old Intelligence Record 89-1,
TLAchievementLooks/achv_narrative_objective_Collection_001_28_Clear_Description,Rumor about the Shipwreck Treasure,
TLAchievementLooks/achv_narrative_objective_Collection_001_29_Clear_Description,Wolf Hunting Contest Bait Materials Purchase Notice,
TLAchievementLooks/achv_narrative_objective_Collection_001_30_Clear_Description,"Shadowmancer Malus's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_001_31_Clear_Description,Old Intelligence Record 63-7,
TLAchievementLooks/achv_narrative_objective_Collection_001_32_Clear_Description,"Adventurer Pro Percy's Advice: Fishing",
TLAchievementLooks/achv_narrative_objective_Collection_002_01_Clear_Description,One-Eyed Hawk!,
TLAchievementLooks/achv_narrative_objective_Collection_002_02_Clear_Description,Where is Ruki?,
TLAchievementLooks/achv_narrative_objective_Collection_002_03_Clear_Description,Record of Fated Love,
TLAchievementLooks/achv_narrative_objective_Collection_002_04_Clear_Description,"Ariella's Journal",
TLAchievementLooks/achv_narrative_objective_Collection_002_05_Clear_Description,Laslan Monster Lore: Vol. 3,
TLAchievementLooks/achv_narrative_objective_Collection_002_06_Clear_Description,About Morokai,
TLAchievementLooks/achv_narrative_objective_Collection_002_07_Clear_Description,Lantern Seed Festival Receipt,
TLAchievementLooks/achv_narrative_objective_Collection_002_08_Clear_Description,"Barney Watson's Diary",
TLAchievementLooks/achv_narrative_objective_Collection_002_09_Clear_Description,"Ironhead Dolph's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_002_10_Clear_Description,A Headbutting Contest Between Terror Birds and Humans,
TLAchievementLooks/achv_narrative_objective_Collection_002_11_Clear_Description,Laslan Monster Lore: Vol. 4,
TLAchievementLooks/achv_narrative_objective_Collection_002_12_Clear_Description,"Records of an Adventurer's Challenges",
TLAchievementLooks/achv_narrative_objective_Collection_002_13_Clear_Description,Old Intelligence Record 122-3,
TLAchievementLooks/achv_narrative_objective_Collection_002_14_Clear_Description,"Expedition Records: Syleus's Abyss 1F-2F",
TLAchievementLooks/achv_narrative_objective_Collection_002_15_Clear_Description,"Expedition Records: Syleus's Abyss 3F-4F",
TLAchievementLooks/achv_narrative_objective_Collection_002_16_Clear_Description,"Expedition Records: Syleus's Abyss 5F-6F",
TLAchievementLooks/achv_narrative_objective_Collection_003_01_Clear_Description,On Divine Beast Gigantrite,
TLAchievementLooks/achv_narrative_objective_Collection_003_02_Clear_Description,A Talk with Clay,
TLAchievementLooks/achv_narrative_objective_Collection_003_03_Clear_Description,Purelight Tower History Tome,
TLAchievementLooks/achv_narrative_objective_Collection_003_04_Clear_Description,The Star-Born,
TLAchievementLooks/achv_narrative_objective_Collection_003_05_Clear_Description,Introduction to Magic Schema,
TLAchievementLooks/achv_narrative_objective_Collection_003_06_Clear_Description,Meldmoon Lecture Notes: Grand Aelon,
TLAchievementLooks/achv_narrative_objective_Collection_003_07_Clear_Description,"Words from Venelux's 17th Graduation Class",
TLAchievementLooks/achv_narrative_objective_Collection_003_08_Clear_Description,"Brandon's Research Materials - Janice Cartair -",
TLAchievementLooks/achv_narrative_objective_Collection_003_09_Clear_Description,"Brandon's Research Materials - Therianne Port - ",
TLAchievementLooks/achv_narrative_objective_Collection_003_10_Clear_Description,"Brandon's Research Materials - Clay Cartair -",
TLAchievementLooks/achv_narrative_objective_Collection_003_11_Clear_Description,To Juniors Before the Final Exam,
TLAchievementLooks/achv_narrative_objective_Collection_003_12_Clear_Description,Elemental Fusion Test Information,
TLAchievementLooks/achv_narrative_objective_Collection_003_13_Clear_Description,The Happiest Day Ever,
TLAchievementLooks/achv_narrative_objective_Collection_003_14_Clear_Description,"Venelux's 227th Graduation Ceremony Address",
TLAchievementLooks/achv_narrative_objective_Collection_003_15_Clear_Description,"A Laslan Shepherd's Song",
TLAchievementLooks/achv_narrative_objective_Collection_003_16_Clear_Description,The Story of Ahzreil and Xeroth,
TLAchievementLooks/achv_narrative_objective_Collection_003_17_Clear_Description,Ahzreil Investigation Report,
TLAchievementLooks/achv_narrative_objective_Collection_003_18_Clear_Description,A Footprint Left at the Peak - Shattered Temple -,
TLAchievementLooks/achv_narrative_objective_Collection_004_01_Clear_Description,Flamelings Orc History,
TLAchievementLooks/achv_narrative_objective_Collection_004_02_Clear_Description,Festival of Fire Suppression Recruitment Notice,
TLAchievementLooks/achv_narrative_objective_Collection_004_03_Clear_Description,Precautions When Using Morph Potions,
TLAchievementLooks/achv_narrative_objective_Collection_004_04_Clear_Description,Oath Artifact Research Journal,
TLAchievementLooks/achv_narrative_objective_Collection_004_05_Clear_Description,Seal of the Order of the Swan,
TLAchievementLooks/achv_narrative_objective_Collection_004_06_Clear_Description,Fonos Basin Patrol Cooperation Request,
TLAchievementLooks/achv_narrative_objective_Collection_004_07_Clear_Description,A Returned Letter,
TLAchievementLooks/achv_narrative_objective_Collection_004_08_Clear_Description,The Tragedy of Turayne Village,
TLAchievementLooks/achv_narrative_objective_Collection_004_09_Clear_Description,"A Zombie Survivor's Journal",
TLAchievementLooks/achv_narrative_objective_Collection_004_10_Clear_Description,"Milos Barnes's Adventure Log - Chapter: Tevent Temple -",
TLAchievementLooks/achv_narrative_objective_Collection_004_11_Clear_Description,Expedition Records: Shadowed Crypt,
TLAchievementLooks/achv_narrative_objective_Collection_004_13_Clear_Description,Mysterious Treasure Map,
TLAchievementLooks/achv_narrative_objective_Collection_006_01_Clear_Description,On Vienta Wine,
TLAchievementLooks/achv_narrative_objective_Collection_006_02_Clear_Description,"Caramilla's Fan Letter",
TLAchievementLooks/achv_narrative_objective_Collection_006_03_Clear_Description,Vineyard Landscape Painting,
TLAchievementLooks/achv_narrative_objective_Collection_006_04_Clear_Description,A Guide for Desert Travelers,
TLAchievementLooks/achv_narrative_objective_Collection_006_05_Clear_Description,"A Tax Collector's Memoir",
TLAchievementLooks/achv_narrative_objective_Collection_006_06_Clear_Description,To Adventurers Coming to Stonemason Town,
TLAchievementLooks/achv_narrative_objective_Collection_006_07_Clear_Description,The Origin of the Monolith Wastelands,
TLAchievementLooks/achv_narrative_objective_Collection_006_08_Clear_Description,Stonegard Monsters: Vol. 1,
TLAchievementLooks/achv_narrative_objective_Collection_006_09_Clear_Description,Rags to Riches With Brown Mica!,
TLAchievementLooks/achv_narrative_objective_Collection_006_10_Clear_Description,"Sienna Parsons, Sun of Stonegard",
TLAchievementLooks/achv_narrative_objective_Collection_006_11_Clear_Description,Regarding Moonlight Desert Merchant Groups,
TLAchievementLooks/achv_narrative_objective_Collection_006_12_Clear_Description,"Queen Bellandir's Seven Action Patterns",
TLAchievementLooks/achv_narrative_objective_Collection_006_13_Clear_Description,"Guild Receptionist's Journal",
TLAchievementLooks/achv_narrative_objective_Collection_006_14_Clear_Description,A Footprint Left at the Peak - Vienta Village -,
TLAchievementLooks/achv_narrative_objective_Collection_006_15_Clear_Description,A Mysterious Copy of a Map,
TLAchievementLooks/achv_narrative_objective_Collection_006_16_Clear_Description,Old Intelligence Record 75-4,
TLAchievementLooks/achv_narrative_objective_Collection_006_17_Clear_Description,Old Intelligence Record 112-6,
TLAchievementLooks/achv_narrative_objective_Collection_006_18_Clear_Description,Arkeum Legion Propaganda,
TLAchievementLooks/achv_narrative_objective_Collection_006_19_Clear_Description,"R's First Record",
TLAchievementLooks/achv_narrative_objective_Collection_006_20_Clear_Description,"R's Final Record",
TLAchievementLooks/achv_narrative_objective_Collection_007_01_Clear_Description,"Go Your Own Way! Jacque Hander's Autobiography",
TLAchievementLooks/achv_narrative_objective_Collection_007_02_Clear_Description,The Great Siege,
TLAchievementLooks/achv_narrative_objective_Collection_007_03_Clear_Description,The Day Stonegard Castle Fell,
TLAchievementLooks/achv_narrative_objective_Collection_007_04_Clear_Description,The End of Fernan the Tyrant,
TLAchievementLooks/achv_narrative_objective_Collection_007_05_Clear_Description,A Joint Declaration of the Allied Resistance Forces,
TLAchievementLooks/achv_narrative_objective_Collection_007_06_Clear_Description,Basic Amitoi Mechanics,
TLAchievementLooks/achv_narrative_objective_Collection_007_07_Clear_Description,Introduction to Golem Research,
TLAchievementLooks/achv_narrative_objective_Collection_007_08_Clear_Description,A Tax Evasion Plan,
TLAchievementLooks/achv_narrative_objective_Collection_007_09_Clear_Description,The Sandflame Squad Wants You!,
TLAchievementLooks/achv_narrative_objective_Collection_007_10_Clear_Description,The Journal of a Sylaveth Priest,
TLAchievementLooks/achv_narrative_objective_Collection_007_11_Clear_Description,"Belluatan's Revelations",
TLAchievementLooks/achv_narrative_objective_Collection_007_12_Clear_Description,Story of King Chimaerus,
TLAchievementLooks/achv_narrative_objective_Collection_007_13_Clear_Description,How to Pick a Fight,
TLAchievementLooks/achv_narrative_objective_Collection_007_14_Clear_Description,A Footprint Left at the Peak - Saurodoma Island - ,
TLAchievementLooks/achv_narrative_objective_Collection_007_15_Clear_Description,A Family Portrait,
TLAchievementLooks/achv_narrative_objective_Collection_007_16_Clear_Description,Sorrowful Keepsake,
TLAchievementLooks/achv_narrative_objective_Collection_007_17_Clear_Description,Last Supper,
TLAchievementLooks/achv_narrative_objective_Collection_007_18_Clear_Description,Expedition Records: Temple of Sylaveth,
TLAchievementLooks/achv_narrative_objective_Collection_007_19_Clear_Description,Expedition Records: Saurodoma Island,
TLAchievementLooks/achv_narrative_objective_Collection_008_01_Clear_Description,The Origin of the Sanctuary Oasis,
TLAchievementLooks/achv_narrative_objective_Collection_008_02_Clear_Description,The Tale of the Demon of Knowledge,
TLAchievementLooks/achv_narrative_objective_Collection_008_03_Clear_Description,Demons of Eld,
TLAchievementLooks/achv_narrative_objective_Collection_008_04_Clear_Description,The Star of Sylaveth,
TLAchievementLooks/achv_narrative_objective_Collection_008_05_Clear_Description,A Tale of Diabolica,
TLAchievementLooks/achv_narrative_objective_Collection_008_06_Clear_Description,"Healer Luceton's Interview Log",
TLAchievementLooks/achv_narrative_objective_Collection_008_07_Clear_Description,Stonegard Monsters: Vol. 2,
TLAchievementLooks/achv_narrative_objective_Collection_008_08_Clear_Description,"An Unknown Apothecary's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_008_09_Clear_Description,"An Ant Mountain Researcher's Journal",
TLAchievementLooks/achv_narrative_objective_Collection_008_10_Clear_Description,The Letter in a Bottle,
TLAchievementLooks/achv_narrative_objective_Collection_008_11_Clear_Description,Lucky Spells,
TLAchievementLooks/achv_narrative_objective_Collection_008_12_Clear_Description,To the Pirate King Adelico,
TLAchievementLooks/achv_narrative_objective_Collection_008_13_Clear_Description,The Legend of Pirate King Adelico,
TLAchievementLooks/achv_narrative_objective_Collection_008_14_Clear_Description,Goblin King Gaitan,
TLAchievementLooks/achv_narrative_objective_Collection_008_15_Clear_Description,Stonegard Monsters: Vol. 3,
TLAchievementLooks/achv_narrative_objective_Collection_008_16_Clear_Description,Report on the Ecology of Chernobog,
TLAchievementLooks/achv_narrative_objective_Collection_008_17_Clear_Description,A Footprint Left at the Peak - Manawastes -,
TLAchievementLooks/achv_narrative_objective_Collection_008_18_Clear_Description,"Jeremiah's Records",
TLAchievementLooks/achv_narrative_objective_Collection_008_19_Clear_Description,"Shakarux, the Death Elemental",
TLAchievementLooks/achv_narrative_objective_Collection_008_20_Clear_Description,The Only Thing You Need to Know About Junobote Problems!,
TLAchievementLooks/achv_narrative_objective_Collection_008_21_Clear_Description,The Secret Story of Talus,
TLAchievementLooks/achv_narrative_objective_Collection_008_22_Clear_Description,Expedition Records: Ant Nest,
TLAchievementLooks/achv_narrative_objective_Collection_008_23_Clear_Description,Expedition Records: Sanctum of Desire,
TLAchievementLooks/achv_narrative_objective_Collection_008_24_Clear_Description,Picture of the Guild Owner,
TLAchievementLooks/achv_narrative_objective_Collection_008_25_Clear_Description,"A Certain Adventurer's Journal",
TLAchievementLooks/achv_narrative_objective_Collection_009_01_Clear_Description,"Discovering Stonegard's Delicacies",
TLAchievementLooks/achv_narrative_objective_Collection_009_02_Clear_Description,Abandoned Arkeum Written Orders,
TLAchievementLooks/achv_narrative_objective_Collection_009_03_Clear_Description,A Finely Shredded Report,
TLAchievementLooks/achv_narrative_objective_Collection_009_04_Clear_Description,"Arthur Talon's Interview Record",
TLAchievementLooks/achv_narrative_objective_Collection_009_05_Clear_Description,Secret Written Conversation with a Talon Guild Member,
TLAchievementLooks/achv_narrative_objective_Collection_009_06_Clear_Description,The Woman Under the Full Moon,
TLAchievementLooks/achv_narrative_objective_Collection_009_07_Clear_Description,A Letter Left by the Right-Hand Man of Kazar,
TLAchievementLooks/achv_narrative_objective_Collection_009_08_Clear_Description,Eastern Guard Post Work Log,
TLAchievementLooks/achv_narrative_objective_Collection_009_09_Clear_Description,"Canina Village Guard's Journal",
TLAchievementLooks/achv_narrative_objective_Collection_009_10_Clear_Description,"An Unknown Talandre Refugee's Journal",
TLAchievementLooks/achv_narrative_objective_Collection_009_11_Clear_Description,Diary of a Young Orc,
TLAchievementLooks/achv_narrative_objective_Collection_009_12_Clear_Description,Graffiti Left in the Akidu Valley,
TLAchievementLooks/achv_narrative_objective_Collection_009_13_Clear_Description,Talisman Operation Request Form,
TLAchievementLooks/achv_narrative_objective_Collection_009_14_Clear_Description,"Duke Magna's Experiment Records",
TLAchievementLooks/achv_narrative_objective_Collection_011_01_Clear_Description,"Breezeline Manager Hilda's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_011_02_Clear_Description,A Complaint from Breezeline Guest,
TLAchievementLooks/achv_narrative_objective_Collection_011_03_Clear_Description,"Annie's Enigmatic Quizzes",
TLAchievementLooks/achv_narrative_objective_Collection_011_04_Clear_Description,Herba Village Tour Guide,
TLAchievementLooks/achv_narrative_objective_Collection_011_05_Clear_Description,The Youngest Son of the Workshop,
TLAchievementLooks/achv_narrative_objective_Collection_011_06_Clear_Description,"To Clara's Jam Store!",
TLAchievementLooks/achv_narrative_objective_Collection_011_07_Clear_Description,Rose Wagon and Chair,
TLAchievementLooks/achv_narrative_objective_Collection_011_08_Clear_Description,"Herba Bakery Girl's Secret Diary",
TLAchievementLooks/achv_narrative_objective_Collection_011_09_Clear_Description,Stop the Hammer Operation,
TLAchievementLooks/achv_narrative_objective_Collection_011_10_Clear_Description,"Discovering Talandre's Delicacies",
TLAchievementLooks/achv_narrative_objective_Collection_011_11_Clear_Description,Watch your step. Risk of falling.,
TLAchievementLooks/achv_narrative_objective_Collection_011_12_Clear_Description,Ode to Aylmar,
TLAchievementLooks/achv_narrative_objective_Collection_011_13_Clear_Description,Talandre Checkpoint Night Duty Rules,
TLAchievementLooks/achv_narrative_objective_Collection_012_01_Clear_Description,The Great Journey of the Seven Wizards,
TLAchievementLooks/achv_narrative_objective_Collection_012_02_Clear_Description,Great Wizard Hale Verpheus,
TLAchievementLooks/achv_narrative_objective_Collection_012_03_Clear_Description,"On the Pilgrim's Way",
TLAchievementLooks/achv_narrative_objective_Collection_012_04_Clear_Description,"Giant Weapon, Axe",
TLAchievementLooks/achv_narrative_objective_Collection_012_05_Clear_Description,A Letter to Red Lutrang,
TLAchievementLooks/achv_narrative_objective_Collection_012_06_Clear_Description,Magic Circle Maintenance Log,
TLAchievementLooks/achv_narrative_objective_Collection_012_07_Clear_Description,"Talandre's Traditional Wine Business Plan",
TLAchievementLooks/achv_narrative_objective_Collection_012_08_Clear_Description,"Daigon's Birth",
TLAchievementLooks/achv_narrative_objective_Collection_012_09_Clear_Description,"A Wizard's Journal",
TLAchievementLooks/achv_narrative_objective_Collection_012_10_Clear_Description,"The Story of the Giant's War for Young Wizards",
TLAchievementLooks/achv_narrative_objective_Collection_012_11_Clear_Description,Seven Large Rocks and a Little Seed,
TLAchievementLooks/achv_narrative_objective_Collection_012_12_Clear_Description,"Breezeline Manager's Manual - Appendix",
TLAchievementLooks/achv_narrative_objective_Collection_012_13_Clear_Description,The Story of a Green-Haired Goblin from Talandre,
TLAchievementLooks/achv_narrative_objective_Collection_012_14_Clear_Description,A Footprint Left at the Peak - Deluzhnoa Temple -,
TLAchievementLooks/achv_narrative_objective_Collection_012_15_Clear_Description,"Velentra's Memoirs",
TLAchievementLooks/achv_narrative_objective_Collection_012_16_Clear_Description,"Velentra's Research Records",
TLAchievementLooks/achv_narrative_objective_Collection_012_17_Clear_Description,[Arkeum Secret Intelligence Report 47-C],
TLAchievementLooks/achv_narrative_objective_Collection_012_18_Clear_Description,[Arkeum Secret Intelligence Report 54-D],
TLAchievementLooks/achv_narrative_objective_Collection_013_01_Clear_Description,"A Wolpertinger's Portrait",
TLAchievementLooks/achv_narrative_objective_Collection_013_02_Clear_Description,Requiem of Spirits,
TLAchievementLooks/achv_narrative_objective_Collection_013_03_Clear_Description,Love that Wolpertinger,
TLAchievementLooks/achv_narrative_objective_Collection_013_04_Clear_Description,"An Elven Wizard's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_013_05_Clear_Description,A Record of Lamenting Elf,
TLAchievementLooks/achv_narrative_objective_Collection_013_06_Clear_Description,"Adriana's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_013_07_Clear_Description,The Song of the Giant Tree and Ogres,
TLAchievementLooks/achv_narrative_objective_Collection_013_08_Clear_Description,"Ironhead Dolph's Second Letter",
TLAchievementLooks/achv_narrative_objective_Collection_013_09_Clear_Description,A Little Wolpertinger and the Hunter,
TLAchievementLooks/achv_narrative_objective_Collection_013_10_Clear_Description,The Ritual of Sending Spirits,
TLAchievementLooks/achv_narrative_objective_Collection_013_11_Clear_Description,"Ogres' Mating Ritual",
TLAchievementLooks/achv_narrative_objective_Collection_013_12_Clear_Description,"Herba Village's Breezeline Opening Ceremony",
TLAchievementLooks/achv_narrative_objective_Collection_013_13_Clear_Description,"An Arkeum Soldier's Diary",
TLAchievementLooks/achv_narrative_objective_Collection_013_14_Clear_Description,"King Khanzaizin's Story",
TLAchievementLooks/achv_narrative_objective_Collection_014_01_Clear_Description,A Moon Flower Plant Guide,
TLAchievementLooks/achv_narrative_objective_Collection_014_02_Clear_Description,Big Hammer Bar Free Drink Coupon,
TLAchievementLooks/achv_narrative_objective_Collection_014_03_Clear_Description,An Accidental Discovery of the Purification Device,
TLAchievementLooks/achv_narrative_objective_Collection_014_04_Clear_Description,A Letter Sent From a Sunken Ship,
TLAchievementLooks/achv_narrative_objective_Collection_014_05_Clear_Description,To My Dear Researcher Friend,
TLAchievementLooks/achv_narrative_objective_Collection_014_06_Clear_Description,Talandre Monsters: Vol. 1,
TLAchievementLooks/achv_narrative_objective_Collection_014_07_Clear_Description,"Minutrite's Story",
TLAchievementLooks/achv_narrative_objective_Collection_014_08_Clear_Description,Azra Observation Log,
TLAchievementLooks/achv_narrative_objective_Collection_014_09_Clear_Description,"Royal Rokard, the Forgotten Ship",
TLAchievementLooks/achv_narrative_objective_Collection_014_10_Clear_Description,The Origins of Karchars and Leviathan,
TLAchievementLooks/achv_narrative_objective_Collection_014_11_Clear_Description,About Vampires,
TLAchievementLooks/achv_narrative_objective_Collection_014_12_Clear_Description,"The Pirate King's Great Victory",
TLAchievementLooks/achv_narrative_objective_Collection_014_13_Clear_Description,"Azra's Mantis Shrimp Fishing Challenge",
TLAchievementLooks/achv_narrative_objective_Collection_014_14_Clear_Description,"Aindel's Letter - How to Find Fresh Ingredients -",
TLAchievementLooks/achv_narrative_objective_Collection_015_01_Clear_Description,Black Anvil Sculptors Union Statement,
TLAchievementLooks/achv_narrative_objective_Collection_015_02_Clear_Description,"Canary's Advice",
TLAchievementLooks/achv_narrative_objective_Collection_015_03_Clear_Description,The Story of the Hammer at the Square,
TLAchievementLooks/achv_narrative_objective_Collection_015_04_Clear_Description,Black Hammer Plaza Theft Warning,
TLAchievementLooks/achv_narrative_objective_Collection_015_05_Clear_Description,"Black Anvil Hill's Traditional Hangover Food Recipe",
TLAchievementLooks/achv_narrative_objective_Collection_015_06_Clear_Description,A Rumor Among Miners,
TLAchievementLooks/achv_narrative_objective_Collection_015_07_Clear_Description,"A Mineralogist's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_015_08_Clear_Description,"An Unknown Black Anvil Dwarf's Letter",
TLAchievementLooks/achv_narrative_objective_Collection_015_09_Clear_Description,Rookie Material Storage Guidelines,
TLAchievementLooks/achv_narrative_objective_Collection_015_10_Clear_Description,"Black Anvil Forge's Safety Regulations",
TLAchievementLooks/achv_narrative_objective_Collection_015_11_Clear_Description,"Black Anvil's Shadows",
TLAchievementLooks/achv_narrative_objective_Collection_015_12_Clear_Description,Stolen Obsidian,
TLAchievementLooks/achv_narrative_objective_Collection_015_13_Clear_Description,"Black Anvil Legion's Complaint Letter",
TLAchievementLooks/achv_narrative_objective_Collection_016_01_Clear_Description,To Mansion Visitors,
TLAchievementLooks/achv_narrative_objective_Collection_016_02_Clear_Description,A Letter for Nanny,
TLAchievementLooks/achv_narrative_objective_Collection_016_03_Clear_Description,Talandre Monsters: Vol. 2,
TLAchievementLooks/achv_narrative_objective_Collection_016_04_Clear_Description,A Record of Florification Curse,
TLAchievementLooks/achv_narrative_objective_Collection_016_05_Clear_Description,To My Idiotic Coworker,
TLAchievementLooks/achv_narrative_objective_Collection_016_06_Clear_Description,Secrets of the Shepherd,
TLAchievementLooks/achv_narrative_objective_Collection_016_07_Clear_Description,"Bercant's Fine, Joyful Horses",
TLAchievementLooks/achv_narrative_objective_Collection_016_08_Clear_Description,Peipor Harvest Festival,
TLAchievementLooks/achv_narrative_objective_Collection_016_09_Clear_Description,The Creation of Bercant Magenta,
TLAchievementLooks/achv_narrative_objective_Collection_016_10_Clear_Description,"Limuny Bercant's Diary",
TLAchievementLooks/achv_narrative_objective_Collection_017_01_Clear_Description,"Hela's Record",
TLAchievementLooks/achv_narrative_objective_Collection_017_02_Clear_Description,A Record of Murder Case,
TLAchievementLooks/achv_narrative_objective_Collection_017_03_Clear_Description,"An Old Maid's Record",
TLAchievementLooks/achv_narrative_objective_Collection_017_04_Clear_Description,A Statue at the Crimson Shrine,
TLAchievementLooks/achv_narrative_objective_Collection_017_05_Clear_Description,What Fishing and Fighting Have in Common,
TLAchievementLooks/achv_narrative_objective_Collection_017_06_Clear_Description,Talandre Monsters: Vol. 3,
TLAchievementLooks/achv_narrative_objective_Collection_017_07_Clear_Description,Manticus Brothers Wanted,
TLAchievementLooks/achv_narrative_objective_Collection_017_08_Clear_Description,Summoning Manticus,
